"MIS_CLASS","MIS_CODE","CODE_DESC","ACTIVE"
"SUBINDCOD","14191","BAS GEYIMLERININ ISTEHSALI","A"
"SUBINDCOD","14199","SAIR GEYIM VE AKSESUARLARIN ISTEHSALI","A"
"SUBINDCOD","14200","XEZ MEMULATLARININ ISTEHSALI","A"
"SUBINDCOD","14311","TRIKOTAJ CORAB MEMULATLARININ ISTEHSALI","A"
"SUBINDCOD","14312","TRIKOTAJ PULOVERLERIN, CEMPERLERIN VE BUNA BENZER MEMULATLARIN ISTEHSALI","A"
"SUBINDCOD","14390","DIGER TRIKOTAJ MEMULATLARININ ISTEHSALI","A"
"SUBINDCOD","15","Elektrik maşınları və elektrik avadanlıqlarının istehsalı","A"
"SUBINDCOD","15110","DERININ ASILANMASI, RENGLENMESI VE HAZIRLANMASI","A"
"SUBINDCOD","15120","DERIDEN CAMADAN, CANTA VE DIGER MEMULATLARIN ISTEHSALI","A"
"SUBINDCOD","15201","GON-DERI AYAQQABILARIN ISTEHSALI","A"
"SUBINDCOD","15202","DIGER MATERIALLARDAN OLAN AYAQQABILARIN ISTEHSALI","A"
"SUBINDCOD","16","Nəqliyyat vasitələri və avadanlıqlarının istehsalı","A"
"SUBINDCOD","16100","TAXTA-SALBANIN KESILMESI VE YONULMASI, ODUNCAGIN HOPDURULMASI","A"
"SUBINDCOD","16210","SPON, FANER VE AGAC LOVHELERIN ISTEHSALI","A"
"SUBINDCOD","16220","YIGMA PARKET DOSEMELERIN ISTEHSALI","A"
"SUBINDCOD","16230","AGAC TIKINTI KONSTRUKSIYALARI VE XARRATLIQ MEMULATLARININ ISTEHSALI","A"
"SUBINDCOD","16240","TAXTA TARALARIN ISTEHSALI","A"
"SUBINDCOD","16290","AGAC VE MANTARDAN, NAZIK YONQARLARDAN VE HORME UCUN MATERIALLARDAN SAIR MEMULATLARIN ISTEHSALI","A"
"SUBINDCOD","17","Emal sənayesinin digər sahələri","A"
"SUBINDCOD","17110","KAGIZ KUTLESI (SELLULOZ) ISTEHSALI","A"
"SUBINDCOD","17120","KAGIZ VE KARTON ISTEHSALI","A"
"SUBINDCOD","17210","BUZMELENMIS KARTON VE KAGIZ, KARTON VE KAGIZ TARALARIN ISTEHSALI","A"
"SUBINDCOD","17220","TESERRUFAT-MEISET VE SANITAR - GIGIYENIYA TEYINATLI KAGIZ MEMULATLARININ ISTEHSALI","A"
"SUBINDCOD","17230","DEFTERXANA, KAGIZ MEMULATLARININ ISTEHSALI","A"
"SUBINDCOD","17240","DIVAR KAGIZLARININ ISTEHSALI","A"
"SUBINDCOD","17290","KAGIZ VE KARTONDAN SAIR MEMULATLARIN ISTEHSALI","A"
"SUBINDCOD","18","Elektrik enerjisi və Qazın istehsalı ","A"
"SUBINDCOD","18110","QEZETLERIN CAP EDILMESI","A"
"SUBINDCOD","18121","DIGER POLIQRAFIYA MEHSULLARININ (QEZETLERDEN ELAVE) CAP EDILMESI","A"
"SUBINDCOD","18122","CAP ISLERININ YERINE YETIRILMESI ILE ELAQEDAR XIDMETLER","A"
"SUBINDCOD","18123","BUTUN NOV QIYMETLI KAGIZ BLANKLARININ HAZIRLANMASI VE SATISI UZRE FEALIYYET","A"
"SUBINDCOD","18124","CIDDI HESABAT BLANKLARININ HAZIRLANMASI","A"
"SUBINDCOD","18130","CAP ISLERININ HAZIRLANMASI","A"
"SUBINDCOD","18140","CILDLEME VE BEZEK ISLERI","A"
"SUBINDCOD","18201","SES YAZILARININ SURETININ CIXARILMASI","A"
"SUBINDCOD","18202","VIDEOYAZILARIN SURETININ CIXARILMASI","A"
"SUBINDCOD","18203","MASIN DASIYICILARININ MELUMATLARININ SURETININ CIXARILMASI","A"
"SUBINDCOD","19","Sənayenin digər sahələri","A"
"SUBINDCOD","19100","KOKS ISTEHSALI","A"
"SUBINDCOD","19200","TEMIZLENMIS NEFT MEHSULLARININ ISTEHSALI, O CUMLEDEN NEFT MEHSULLARINDAN BRIKETLER","A"
"SUBINDCOD","20","Kənd təsərrüfatı, ovçuluq və bu sahədə xidmətlərin göstərilməsi","A"
"SUBINDCOD","20110","SENAYE QAZLARININ ISTEHSALI","A"
"SUBINDCOD","20120","BOYAQ MADDELERI VE PIQMENTLERIN ISTEHSALI","A"
"SUBINDCOD","20130","SAIR ESAS QEYRI-UZVI KIMYEVI MADDELERIN ISTEHSALI","A"
"SUBINDCOD","20140","SAIR ESAS UZVI KIMYEVI MADDELERIN ISTEHSALI","A"
"SUBINDCOD","20150","GUBRE VE AZOT BIRLESMELERININ ISTEHSALI","A"
"SUBINDCOD","20160","ILKIN FORMALARDA PLASTIK KUTLE ISTEHSALI","A"
"SUBINDCOD","20170","ILKIN FORMADA SINTETIK KAUCUK ISTEHSALI","A"
"SUBINDCOD","20200","AQROKIMYEVI MEHSULLARIN ISTEHSALI","A"
"SUBINDCOD","20300","BOYA, LAK VE BUNA BENZER ORTUKLERIN, METBEE BOYALARININ VE MASTIKALARININ ISTEHSALI","A"
"SUBINDCOD","20410","SABUN VE YUYUCU TOZLARIN, TEMIZLEYICI VE CILALAYICI VASITELERIN ISTEHSALI","A"
"SUBINDCOD","20420","ETRIYYAT VE KOSMETIKA VASITELERININ ISTEHSALI","A"
"SUBINDCOD","20510","PARTLAYICI MADDELERIN ISTEHSALI","A"
"SUBINDCOD","20520","YAPISQAN ISTEHSALI","A"
"SUBINDCOD","20530","EFIR YAGLARININ ISTEHSALI","A"
"SUBINDCOD","20591","FOTOMATERIALLARIN ISTEHSALI","A"
"SUBINDCOD","20599","DIGER QRUPLARA DAXIL EDILMEMIS SAIR KIMYEVI MEHSULLARIN ISTEHSALI","A"
"SUBINDCOD","20600","SUNI VE SINTETIK KIMYEVI LIFLERIN ISTEHSALI","A"
"SUBINDCOD","21","Meşə təsərrüfatı və bu sahədə xidmətlərin göstərilməsi","A"
"SUBINDCOD","21100","ESAS ECZACILIQ MEHSULLARININ ISTEHSALI","A"
"SUBINDCOD","21200","ECZACILIQ PREPARATLARININ VE MATERIALLARININ ISTEHSALI","A"
"SUBINDCOD","22","Balıqçılıq, balıq təsərrüfatı və bununla əlaqədar xidmətlər","A"
"SUBINDCOD","22110","REZIN SIN, TEKER VE KAMERALARIN ISTEHSALI VE BERPASI","A"
"SUBINDCOD","22191","REZINDEN SENAYE TEYINATLI MEHSULLARIN VE YARIMFABRIKATLARIN ISTEHSALI","A"
"SUBINDCOD","22192","REZIN MEMULATLARIN ISTEHSALI","A"
"SUBINDCOD","22193","MUXTELIF NOV MOHURLERIN VE STAMPLARIN HAZIRLANMASI","A"
"SUBINDCOD","22210","PLASTIK LOVHELERIN, ZOLAQLARIN, BORULARIN, PROFILLERIN ISTEHSALI","A"
"SUBINDCOD","22220","EMTEELERIN QABLASDIRILMASI UCUN PLASTIK MEMULATLARIN ISTEHSALI","A"
"SUBINDCOD","22230","TIKINTIDE ISTIFADE EDILEN PLASTIK KUTLEDEN MEMULATLARIN ISTEHSALI","A"
"SUBINDCOD","22290","SAIR PLASTIK MEMULATLARIN ISTEHSALI","A"
"SUBINDCOD","23","Kənd təsərrüfatının digər sahələri","A"
"SUBINDCOD","23110","SUSE TEBEQESININ ISTEHSALI","A"
"SUBINDCOD","23120","SUSE TEBEQESININ FORMALASDIRILMASI VE EMALI","A"
"SUBINDCOD","23130","ICIBOS SUSE MEMULATLARININ ISTEHSALI","A"
"SUBINDCOD","23140","SUSE LIFIN ISTEHSALI","A"
"SUBINDCOD","23190","TEXNIKI SUSE MEMULATLARI DAXIL OLMAQLA SAIR SUSE MEMULATLARIN ISTEHSALI VE EMALI","A"
"SUBINDCOD","23200","ODADAVAMLI MEMULATLARIN ISTEHSALI","A"
"SUBINDCOD","23310","SAXSI LOVHECIKLERIN VE LOVHELERIN ISTEHSALI","A"
"SUBINDCOD","23320","KERPIC, KIREMIT VE YANDIRILMIS GILDEN SAIR TIKINTI MEMULATLARININ ISTEHSALI","A"
"SUBINDCOD","23410","TESERRUFAT VE DEKORATIV SAXSI MEMULATLARIN IN ISTEHSALI","A"
"SUBINDCOD","23420","SAXSI SANITAR - TEXNIKI MEMULATLARIN ISTEHSALI","A"
"SUBINDCOD","23430","SAXSI IZOLYATORLARIN VE SAXSI IZOLYASIYA ARMATURUNUN ISTEHSALI","A"
"SUBINDCOD","23440","SAIR TEXNIKI SAXSI MEMULATLARIN ISTEHSALI","A"
"SUBINDCOD","23490","SAIR SAXSI MEMULATLARIN ISTEHSALI","A"
"SUBINDCOD","23510","SEMENT ISTEHSALI","A"
"SUBINDCOD","23520","EHENG VE GIPS ISTEHSALI","A"
"SUBINDCOD","23610","TIKINTIDE ISTIFADE ETMEK UCUN BETONDAN MEMULATLARIN ISTEHSALI","A"
"SUBINDCOD","23620","TIKINTIDE ISTIFADE ETMEK UCUN GIPS MEMULATLARININ ISTEHSALI","A"
"SUBINDCOD","23630","EMTEE BETONUNUN ISTEHSALI (HAZIR BETON QARISIGI)","A"
"SUBINDCOD","23640","QURU BETON QATISIGININ ISTEHSALI","A"
"SUBINDCOD","23650","LIFLI SEMENTDEN (AZBESTSEMENTDEN) MEMULATLARIN ISTEHSALI","A"
"SUBINDCOD","23690","BETON, GIPS VE SEMENTDEN SAIR MEMULATLARIN ISTEHSALI","A"
"SUBINDCOD","23700","DEKORATIV VE TIKINTI DASLARININ KESILMESI, EMALI VE NAXISLANMASI","A"
"SUBINDCOD","23910","ABRAZIV MEMULATLARIN ISTEHSALI","A"
"SUBINDCOD","23990","DIGER QRUPLARA DAXIL EDILMEYEN SAIR QEYRI-METAL MINERAL MEHSULLARIN ISTEHSALI","A"
"SUBINDCOD","24","Yaşayış sahələrin tikintisi","A"
"SUBINDCOD","24100","CUQUN, POLAD VE FERROERINTI ISTEHSALI","A"
"SUBINDCOD","24200","POLADDAN BORU, ICI BOS PROFILLER VE BIRLESDIRICI HISSELERIN ISTEHSALI","A"
"SUBINDCOD","24310","SOYUQ DARTMA","A"
"SUBINDCOD","24320","ENSIZ ZOLAQLARIN VE LENTLERIN SOYUQ YAYILMASI","A"
"SUBINDCOD","24330","MEHSULLARIN SOYUQ SEKILDE STAMPLANMASI VE EYILMESI","A"
"SUBINDCOD","24340","MEFTIL ISTEHSALI","A"
"SUBINDCOD","24410","NECIB (QIYMETLI) METALLARIN ISTEHSALI","A"
"SUBINDCOD","24420","ALUMINIUM ISTEHSALI","A"
"SUBINDCOD","24430","QURGUSUN, SINK VE QALAY ISTEHSALI","A"
"SUBINDCOD","24440","MIS ISTEHSALI","A"
"SUBINDCOD","24450","SAIR ELVAN METALLARIN ISTEHSALI","A"
"SUBINDCOD","24460","NUVE YANACAGININ EMALI","A"
"SUBINDCOD","24510","CUQUN TOKME","A"
"SUBINDCOD","24520","POLAD TOKME","A"
"SUBINDCOD","24530","YUNGUL METALLARIN TOKULMESI","A"
"SUBINDCOD","24540","SAIR ELVAN METALLARIN TOKULMESI","A"
"SUBINDCOD","25","Qeyri-yaşayış sahələrin tikintisi","A"
"SUBINDCOD","25110","METALDAN TIKINTI KONSTRUKSIYALARI VE ONLARIN HISSELERININ ISTEHSALI","A"
"SUBINDCOD","25120","METAL QAPI VE PENCERELERIN ISTEHSALI","A"
"SUBINDCOD","25210","MERKEZI ISTILIK RADIATORLARININ VE QAZANLARININ ISTEHSALI","A"
"SUBINDCOD","25290","METALDAN SAIR SISTERNLERIN, CENLERIN VE KONTEYNERLERIN ISTEHSALI","A"
"SUBINDCOD","25300","MERKEZI ISTILIK QAZANLARINDAN BASQA BUXAR QAZANLARININ ISTEHSALI","A"
"SUBINDCOD","25400","SILAH VE HERBI SURSAT ISTEHSALI","A"
"SUBINDCOD","25500","METALIN DOYULMESI, PRESLENMESI, STAMPLANMASI VE PROFILLENMESI, TOZ METALLURGIYASI","A"
"SUBINDCOD","25610","METALLARIN EMALI VE METALLARA ORTUK CEKILMESI","A"
"SUBINDCOD","25620","MASINQAYIRMANIN ESAS TEXNOLOJI PROSESLERI","A"
"SUBINDCOD","25710","BICAQ MEMULATLARININ ISTEHSALI","A"
"SUBINDCOD","25720","QIFIL VE HENCAMA ISTEHSALI","A"
"SUBINDCOD","25730","ALETLERIN ISTEHSALI","A"
